EmployeeID,Name, Department,Salary,JoiningDate,Age,Gender ,Experience (Years),Performance Rating, Remote Worker,Last Promotion Date
,Employee_1,Finance,,2022-11-03,,Female,21.0,3.3,False,2022-02-10
102.0,Employee_2,Operations,4705.0,2016-11-09,29.0,Male,5.0,3.7,True,2024-10-31
,Employee_3,Marketing,4026.0,2023-01-26,50.0,Female,10.0,3.8,False,2023-05-08
104.0,Employee_4,Finance,,2019-01-23,39.0,Male,23.0,4.9,True,2024-04-18
105.0,Employee_5,Finance,6573.0,2018-09-04,25.0,Male,,4.6,False,
106.0,Employee_6,IT,5117.0,2020-01-28,33.0,Male,28.0,4.0,False,
107.0,Employee_7,IT,6591.0,2018-04-10,37.0,Male,17.0,2.9,False,2023-04-01
108.0,Employee_8,Operations,4036.0,2020-09-27,35.0,Male,22.0,1.4,False,2022-08-03
109.0,Employee_9,Marketing,5324.0,2023-11-03,33.0,Male,15.0,4.4,True,2023-07-19
110.0,Employee_10,IT,5026.0,2016-05-19,41.0,Male,28.0,4.8,True,2021-04-30
,Employee_11,HR,5403.0,2018-06-02,,Male,0.0,4.7,False,2024-09-20
112.0,Employee_12,Finance,5145.0,2016-03-13,49.0,Female,7.0,2.7,False,2022-03-19
113.0,Employee_13,HR,7597.0,2021-04-22,38.0,Male,5.0,4.6,True,2024-01-16
114.0,Employee_14,,5617.0,2017-03-20,30.0,Male,1.0,4.1,,2020-11-10
,Employee_15,HR,6318.0,2017-11-02,27.0,Male,23.0,2.3,False,2022-08-18
116.0,Employee_16,Marketing,5832.0,2016-01-26,,Female,6.0,1.8,True,
117.0,Employee_17,HR,6139.0,2015-06-20,49.0,Male,12.0,3.9,True,2021-03-03
118.0,Employee_18,IT,7757.0,2018-08-12,,Male,26.0,3.0,False,
119.0,Employee_19,Finance,4619.0,2020-02-02,47.0,Female,0.0,4.9,False,2022-12-10
120.0,Employee_20,Finance,6386.0,2023-12-01,36.0,Male,27.0,1.9,True,2022-07-30
121.0,,Finance,7008.0,2016-12-01,42.0,Male,3.0,2.1,False,2020-12-13
,Employee_22,HR,6504.0,2018-09-14,27.0,Female,26.0,4.1,True,2021-05-04
123.0,,HR,5968.0,2016-08-09,42.0,Male,17.0,2.0,False,2023-01-03
124.0,Employee_24,Operations,5272.0,2022-03-25,29.0,Female,22.0,2.4,False,2024-12-13
125.0,Employee_25,Operations,4773.0,2022-08-31,50.0,Male,23.0,3.4,,2023-01-27
,Employee_26,HR,,2019-03-04,34.0,Male,23.0,3.5,,2021-10-29
127.0,Employee_27,Operations,7071.0,2023-08-22,41.0,Male,5.0,2.9,False,2024-06-29
,Employee_28,HR,6010.0,2015-07-20,36.0,Male,10.0,3.4,True,2021-04-09
129.0,Employee_29,HR,5867.0,2017-04-12,25.0,Female,26.0,2.1,True,2021-10-31
130.0,Employee_30,IT,5194.0,2018-01-24,28.0,Female,24.0,3.8,False,2024-11-30
131.0,Employee_31,IT,5840.0,2020-11-15,33.0,Female,1.0,2.0,True,2023-11-26
132.0,Employee_32,HR,5471.0,2016-08-29,27.0,Male,,1.3,True,2021-04-20
133.0,,Finance,7695.0,2021-03-08,25.0,Male,17.0,2.9,True,2023-08-25
134.0,Employee_34,Operations,5339.0,2020-11-29,33.0,Male,13.0,4.6,True,2024-10-20
135.0,Employee_35,Operations,5389.0,2019-04-24,38.0,Male,5.0,2.5,False,2023-06-16
136.0,Employee_36,Marketing,5488.0,2017-04-04,44.0,Female,13.0,2.8,False,2021-01-05
137.0,Employee_37,HR,6528.0,2016-05-09,41.0,Female,4.0,3.2,True,2024-02-06
138.0,Employee_38,Operations,7398.0,2020-03-06,30.0,Female,16.0,4.8,True,2023-04-22
139.0,Employee_39,IT,5477.0,2021-03-23,35.0,Male,5.0,1.5,,2021-08-06
140.0,,HR,5252.0,2021-06-16,33.0,Female,5.0,3.3,False,2021-09-18
,Employee_41,IT,4177.0,2018-03-28,32.0,Female,18.0,4.1,False,2024-08-14
142.0,,IT,4856.0,2023-08-11,36.0,Male,7.0,2.0,False,
