Transaction_ID,Date, Customer_ID,Customer_Name,Customer_Gender,Customer_Region,Category ,Price,Discount_Amount,Quantity ,Payment_Method,Store_Location,Online/Offline, Product_Rating
T000001,2024-07-19,C1006,Robert Perry,Female,WST,Clothing,516.14,,5.0,Debit Card,Store A,Online,1.0
T000002,2023-09-17,C1492,Kenneth Huang,Female,WST,electronic,,10.11,10.0,Credit Card,Store D,Offline,1.6
T000003,2024-03-31,C1153,Juan Hatfield,Female,South,Grocery,772.67,6.63,1.0,Online Payment,Store A,,3.8
T000004,2023-05-22,C1029,,Male,East,Electronics,241.14,8.55,2.0,Debit Card,Store D,Offline,
,2023-03-05,C1115,Emily Pruitt,Female,south,Clothing,968.59,11.18,4.0,Credit Card,Store B,Offline,2.2
T000006,2024-01-21,C1280,Tiffany Smith,Female,South,Grocery,562.81,4.39,6.0,Cash,Store A,Online,4.5
T000007,2023-08-16,C1294,Heather Holmes,Female,,ELECTRONIC,447.44,4.68,9.0,Online Payment,Store A,Offline,3.5
T000008,2023-09-28,C1113,Hunter Ellis,Male,Est,electronic,811.66,10.16,9.0,Cash,Store B,Offline,
T000009,2023-10-15,,Taylor Green,Female,South,Furnitures,115.01,,10.0,Credit Card,Store C,,
T000010,2024-05-15,C1081,Lucas Robinson,Male,WST,Electronics,,11.21,9.0,Online Payment,Store A,Online,5.0
T000011,2023-07-14,C1208,Mike Smith,Female,West,,468.3,0.69,5.0,Credit Card,Store A,,4.4
T000012,2023-12-26,C1139,Michelle Reed,Female,East,Furnitures,882.25,0.03,10.0,Credit Card,Store D,Offline,3.7
T000013,2023-11-28,C1265,Toni Hill,Male,North,Clothing,408.07,,7.0,Debit Card,,Online,1.4
,2023-03-21,C1361,Andrew Lee,Male,NORTH,Clothing,921.13,6.9,2.0,Online Payment,Store C,Offline,3.5
T000015,,C1351,Matthew Russell,Male,West,electronic,820.16,3.54,,Online Payment,Store D,Online,3.6
T000016,2024-01-17,C1205,Kelly Skinner,,South,Furniture,380.83,13.02,5.0,Credit Card,Store C,Online,2.6
T000017,2023-09-08,C1377,Michael Delacruz,Male,East,Furniture,799.05,9.76,2.0,Cash,Store D,Online,3.4
T000018,2023-08-30,C1310,Stephanie Little,Female,south,Furnitures,,,2.0,Cash,Store C,,3.4
T000019,2024-11-30,,Steven Scott,Male,East,Furniture,488.86,8.68,3.0,Credit Card,,Online,4.1
T000020,2024-06-20,C1223,Derek Russell,Male,Est,Grocery,238.3,,10.0,Debit Card,Store A,Online,
